モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,Ni_5Kpm_7.7mg_20241108,,,,,,,,
測定日時,2024/11/08 14:48:32,,,,,,,,
サンプル名,Ni,,,,,,,,
サンプル質量,7.7,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,317,377,5,3,0.2,On,Off,On
,2,377,317,5,3,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
Ni_5Kpm_7.7mg_20241108  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,0.406088363,,,,,,,,
2,-0.388923578,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.29,313.6372375,-185.4467773,1235.02002,,,,,,
0.293333333,313.6443787,-189.5494385,1229.589844,,,,,,
0.296666667,313.6515503,-193.6413574,1223.862305,,,,,,
0.3,313.658905,-197.7214355,1218.030762,,,,,,
0.303333333,313.6663208,-201.7821045,1212.451172,,,,,,
0.306666667,313.6738586,-205.8303223,1206.814453,,,,,,
0.31,313.6814575,-209.8520508,1200.733887,,,,,,
0.313333333,313.689209,-213.8581543,1193.755371,,,,,,
0.316666667,313.6970215,-217.861084,1185.950684,,,,,,
0.32,313.7049561,-221.8304443,1178.409668,,,,,,
0.323333333,313.7129517,-225.7838135,1170.867188,,,,,,
0.326666667,313.7210693,-229.7125244,1162.841309,,,,,,
0.33,313.7292175,-233.5880127,1154.849121,,,,,,
0.333333333,313.7375183,-237.4204102,1147.341797,,,,,,
0.336666667,313.7458801,-241.2261963,1140.052734,,,,,,
0.34,313.754303,-245.0155029,1132.340332,,,,,,
0.343333333,313.7628174,-248.7844238,1124.327637,,,,,,
0.346666667,313.7714844,-252.5488281,1116.017578,,,,,,
0.35,313.7801819,-256.300293,1107.427734,,,,,,
0.353333333,313.7889709,-260.0306396,1098.833496,,,,,,
0.356666667,313.7978516,-263.6800537,1089.739746,,,,,,
0.36,313.8068237,-267.2745361,1080.206543,,,,,,
0.363333333,313.815918,-270.8544922,1070.635254,,,,,,
0.366666667,313.8250732,-274.37854,1060.814941,,,,,,
0.37,313.8343811,-277.8724365,1051.130859,,,,,,
0.373333333,313.84375,-281.3657227,1041.528809,,,,,,
0.376666667,313.8532104,-284.859375,1031.739258,,,,,,
0.38,313.8627625,-288.3299561,1021.989258,,,,,,
0.383333333,313.872345,-291.7502441,1012.419434,,,,,,
0.386666667,313.882019,-295.135498,1002.919922,,,,,,
0.39,313.8918152,-298.4733887,993.4291992,,,,,,
0.393333333,313.9016418,-301.7822266,983.4726563,,,,,,
0.396666667,313.9116211,-305.0556641,972.9418945,,,,,,
0.4,313.9216614,-308.2767334,963.1142578,,,,,,
0.403333333,313.9317627,-311.4504395,953.7436523,,,,,,
0.406666667,313.9419556,-314.5960693,944.7700195,,,,,,
0.41,313.952179,-317.706665,936.6533203,,,,,,
0.413333333,313.9625549,-320.7844238,928.1293945,,,,,,
0.416666667,313.9729614,-323.8068848,918.4804688,,,,,,
0.42,313.9834595,-326.7974854,908.4697266,,,,,,
0.423333333,313.9940186,-329.7797852,899.0375977,,,,,,
0.426666667,314.0046692,-332.7578125,889.8500977,,,,,,
0.43,314.0153809,-335.7298584,880.4692383,,,,,,
0.433333333,314.0261536,-338.6809082,871.4121094,,,,,,
0.436666667,314.0370178,-341.546875,862.7578125,,,,,,
0.44,314.0479736,-344.3392334,854.4038086,,,,,,
0.443333333,314.0589294,-347.1431885,846.2285156,,,,,,
0.446666667,314.0699768,-349.949585,838.03125,,,,,,
0.45,314.0811157,-352.7669678,829.7416992,,,,,,
0.453333333,314.0922546,-355.5831299,821.605957,,,,,,
0.456666667,314.1034851,-358.3175049,814.003418,,,,,,
0.46,314.1147766,-360.9799805,807.300293,,,,,,
0.463333333,314.1261292,-363.6351318,800.550293,,,,,,
0.466666667,314.1375732,-366.2902832,793.0795898,,,,,,
0.47,314.1491394,-368.8973389,785.2075195,,,,,,
0.473333333,314.160675,-371.4643555,777.2768555,,,,,,
0.476666667,314.1723022,-374.03479,769.5703125,,,,,,
0.48,314.1839905,-376.6021729,762.7924805,,,,,,
0.483333333,314.1957092,-379.1345215,756.0380859,,,,,,
0.486666667,314.207489,-381.630127,748.5629883,,,,,,
0.49,314.2193604,-384.0855713,740.6220703,,,,,,
0.493333333,314.2312622,-386.5109863,731.9501953,,,,,,
0.496666667,314.2432556,-388.9248047,723.628418,,,,,,
0.5,314.2552185,-391.3552246,716.4682617,,,,,,
0.503333333,314.2673035,-393.7973633,709.7138672,,,,,,
0.506666667,314.2794189,-396.1885986,702.3310547,,,,,,
0.51,314.2915955,-398.5205078,694.7138672,,,,,,
0.513333333,314.303833,-400.8344727,687.5332031,,,,,,
0.516666667,314.3161316,-403.1251221,680.4067383,,,,,,
0.52,314.3284302,-405.3874512,672.8305664,,,,,,
0.523333333,314.3408203,-407.6307373,664.9248047,,,,,,
0.526666667,314.3532715,-409.8404541,657.2314453,,,,,,
0.53,314.3657532,-412.0056152,649.6552734,,,,,,
0.533333333,314.3782959,-414.1291504,642.4101563,,,,,,
0.536666667,314.3908997,-416.2209473,635.644043,,,,,,
0.54,314.4035645,-418.3106689,628.8486328,,,,,,
0.543333333,314.4162598,-420.4072266,621.121582,,,,,,
0.546666667,314.4289856,-422.4777832,613.0004883,,,,,,
0.55,314.4417419,-424.4974365,605.4785156,,,,,,
0.553333333,314.4545593,-426.4874268,598.4589844,,,,,,
0.556666667,314.4674377,-428.4639893,591.2050781,,,,,,
0.56,314.4803162,-430.4263916,583.6069336,,,,,,
0.563333333,314.4932861,-432.3409424,575.9648438,,,,,,
