ｻﾝﾌﾟﾙ:	Cds_550_500__05%T.txt
ﾌｧｲﾙ名:	Cds_550_500__05%T.txt.UDS
分析日時:	'13:46:06, 09/27/2024
ｵﾍﾟﾚｰﾀ:	OB
ｺﾒﾝﾄ:	'

光度計
ﾓﾃﾞﾙ:	U-3900形分光光度計
ｼﾘｱﾙ No.:	'3004-010
ROM Ver.:	2J25300 07

装置条件
測定ﾓｰﾄﾞ:	波長ｽｷｬﾝ
521.10	0.613
521.00	0.523
520.90	0.446
520.80	0.376
520.70	0.318
520.60	0.267
520.50	0.229
520.40	0.190
520.30	0.161
520.20	0.132
520.10	0.107
520.00	0.086
519.90	0.067
519.80	0.054
519.70	0.043
519.60	0.032
519.50	0.027
519.40	0.026
519.30	0.022
519.20	0.016
519.10	0.011
519.00	0.009
518.90	0.006
518.80	0.004
518.70	0.003
518.60	0.004
518.50	0.002
518.40	0.004
518.30	0.005
518.20	0.006
518.10	0.009
518.00	0.009
517.90	0.008
517.80	0.007
517.70	0.007
517.60	0.005
517.50	0.003
517.40	0.003
517.30	0.002
517.20	0.002
517.10	0.001
517.00	0.001
516.90	0.002
516.80	0.004
516.70	0.005
516.60	0.005
516.50	0.002
516.40	0.000
516.30	-0.001
516.20	-0.001
516.10	0.000
516.00	0.004
515.90	0.005
515.80	0.007
515.70	0.009
515.60	0.009
515.50	0.007
515.40	0.006
515.30	0.005
515.20	0.006
515.10	0.005
515.00	0.006
514.90	0.005
514.80	0.004
514.70	0.004
514.60	0.005
514.50	0.005
514.40	0.003
514.30	0.002
514.20	0.003
514.10	0.003
514.00	0.004
513.90	0.003
513.80	0.003
513.70	0.004
513.60	0.004
513.50	0.003
513.40	0.002
513.30	0.001
513.20	0.002
513.10	0.005
513.00	0.007
512.90	0.007
512.80	0.008
512.70	0.008
512.60	0.006
512.50	0.004
512.40	0.002
512.30	0.002
512.20	0.003
512.10	0.004
512.00	0.006
511.90	0.006
511.80	0.005
511.70	0.002
511.60	0.002
511.50	0.001
511.40	0.002
511.30	0.002
511.20	0.005
511.10	0.006
511.00	0.005
510.90	0.005
510.80	0.005
510.70	0.003
510.60	0.004
510.50	0.006
510.40	0.008
510.30	0.007
510.20	0.008
510.10	0.007
510.00	0.005
509.90	0.003
509.80	0.003
509.70	0.003
509.60	0.001
509.50	0.001
509.40	0.002
509.30	0.004
509.20	0.004
509.10	0.003
509.00	0.004
508.90	0.003
508.80	0.003
508.70	0.004
508.60	0.002
508.50	0.004
508.40	0.004
508.30	0.005
508.20	0.003
508.10	0.004
508.00	0.004
507.90	0.005
507.80	0.006
507.70	0.006
507.60	0.007
507.50	0.007
507.40	0.007
507.30	0.008
507.20	0.007
507.10	0.007
507.00	0.007
506.90	0.006
506.80	0.005
506.70	0.005
506.60	0.004
506.50	0.004
506.40	0.005
506.30	0.006
506.20	0.008
506.10	0.008
506.00	0.009
505.90	0.010
505.80	0.008
505.70	0.007
505.60	0.006
505.50	0.005
505.40	0.005
505.30	0.005
505.20	0.005
505.10	0.006
505.00	0.006
504.90	0.005
504.80	0.004
504.70	0.002
504.60	0.003
504.50	0.004
504.40	0.003
504.30	0.003
504.20	0.003
504.10	0.006
504.00	0.004
503.90	0.004
503.80	0.003
503.70	0.004
503.60	0.004
503.50	0.007
503.40	0.008
503.30	0.008
503.20	0.007
503.10	0.007
503.00	0.006
502.90	0.005
502.80	0.004
502.70	0.004
502.60	0.003
502.50	0.003
502.40	0.004
502.30	0.004
502.20	0.004
502.10	0.007
502.00	0.008
501.90	0.010
501.80	0.008
501.70	0.007
501.60	0.007
501.50	0.004
501.40	0.003
501.30	0.002
501.20	0.002
501.10	0.004
501.00	0.007
500.90	0.007
500.80	0.006
500.70	0.009
500.60	0.008
500.50	0.008
500.40	0.006
500.30	0.006
500.20	0.007
500.10	0.008
500.00	0.007

