モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,BTO_5Kpm_9mg_20241115_2,,,,,,,,
測定日時,2024/11/15 15:21:14,,,,,,,,
サンプル名,BTO,,,,,,,,
サンプル質量,9,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,107,147,5,3,0.2,On,Off,On
,2,147,107,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
BTO_5Kpm_9mg_20241115_2  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-0.970383861,,,,,,,,
2,0.840006949,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.286666667,103.9732513,-98.01690674,774.2796021,,,,,,
0.29,103.9772568,-100.6056213,778.1345215,,,,,,
0.293333333,103.9813919,-103.1763306,781.5704956,,,,,,
0.296666667,103.9855804,-105.7641907,784.7660522,,,,,,
0.3,103.9898682,-108.4101257,788.1348267,,,,,,
0.303333333,103.9942627,-111.2763672,791.3410034,,,,,,
0.306666667,103.9987259,-114.1248779,794.0892334,,,,,,
0.31,104.0033035,-116.9240112,796.6217651,,,,,,
0.313333333,104.0079498,-119.6703186,798.9906006,,,,,,
0.316666667,104.0127106,-122.3810425,801.2671509,,,,,,
0.32,104.0175247,-125.0883789,803.4490356,,,,,,
0.323333333,104.0224991,-127.7268066,805.4674072,,,,,,
0.326666667,104.0275269,-130.372406,807.074707,,,,,,
0.33,104.0326462,-133.0305786,808.3436279,,,,,,
0.333333333,104.0378876,-135.6895447,809.6711426,,,,,,
0.336666667,104.0432129,-138.3477173,811.0096436,,,,,,
0.34,104.0486374,-141.0255127,811.7468262,,,,,,
0.343333333,104.0541458,-143.728241,810.8594971,,,,,,
0.346666667,104.0597458,-146.4277039,808.5856934,,,,,,
0.35,104.0653992,-149.1216736,806.9505615,,,,,,
0.353333333,104.0712128,-151.8175964,805.7900391,,,,,,
0.356666667,104.0771103,-154.514679,805.0030518,,,,,,
0.36,104.0830688,-157.2106018,804.2376709,,,,,,
0.363333333,104.0891418,-159.9190063,804.0952148,,,,,,
0.366666667,104.0952835,-162.6290588,804.2021484,,,,,,
0.37,104.1015091,-165.3278503,804.0157471,,,,,,
0.373333333,104.1078568,-168.0204773,803.7084961,,,,,,
0.376666667,104.114296,-170.7080078,803.543335,,,,,,
0.38,104.1208191,-173.3873291,803.2174072,,,,,,
0.383333333,104.1274338,-176.0637207,802.2399902,,,,,,
0.386666667,104.1341705,-178.7459717,800.9421387,,,,,,
0.39,104.1409683,-181.4332275,799.6951904,,,,,,
0.393333333,104.1478806,-184.1169739,798.5405273,,,,,,
0.396666667,104.1548615,-186.7841492,797.3726807,,,,,,
0.4,104.1619263,-189.4342651,795.9975586,,,,,,
0.403333333,104.1690826,-192.0871582,794.3144531,,,,,,
0.406666667,104.1763,-194.7418213,792.3742676,,,,,,
0.41,104.1836319,-197.3842773,790.3604736,,,,,,
0.413333333,104.1910248,-200.0186462,788.2836914,,,,,,
0.416666667,104.1985092,-202.6567688,786.0856934,,,,,,
0.42,104.2060852,-205.3015747,783.815918,,,,,,
0.423333333,104.2137527,-207.9259338,781.5959473,,,,,,
0.426666667,104.2215042,-210.5279846,779.3448486,,,,,,
0.43,104.2293472,-213.1199036,776.96521,,,,,,
0.433333333,104.2372818,-215.7140198,774.3369141,,,,,,
0.436666667,104.2452774,-218.3151855,771.6229248,,,,,,
0.44,104.2533569,-220.907959,769.052124,,,,,,
0.443333333,104.2615051,-223.4770508,766.4425049,,,,,,
0.446666667,104.2697372,-226.0325928,763.6655273,,,,,,
0.45,104.2780914,-228.5767517,760.9299316,,,,,,
0.453333333,104.2865067,-231.1055908,758.2606201,,,,,,
0.456666667,104.2949753,-233.6207581,755.37854,,,,,,
0.46,104.303566,-236.1203003,752.1386719,,,,,,
0.463333333,104.3122177,-238.6125488,748.6142578,,,,,,
0.466666667,104.3209305,-241.1037292,745.0528564,,,,,,
0.47,104.3297043,-243.5942688,741.5372314,,,,,,
0.473333333,104.3385696,-246.0734558,738.1153564,,,,,,
0.476666667,104.3475189,-248.5309143,734.5444336,,,,,,
0.48,104.3565598,-250.9779358,730.7307129,,,,,,
0.483333333,104.3656616,-253.414856,726.9627686,,,,,,
0.486666667,104.374855,-255.842865,723.239502,,,,,,
0.49,104.3841324,-258.2648621,719.3719482,,,,,,
0.493333333,104.3934784,-260.6848145,715.5439453,,,,,,
0.496666667,104.4028778,-263.0900879,711.8510742,,,,,,
0.5,104.4123688,-265.4741211,708.1138916,,,,,,
0.503333333,104.4219513,-267.8342896,704.3587646,,,,,,
0.506666667,104.4315872,-270.1620789,700.4458008,,,,,,
0.51,104.4412918,-272.4680481,696.5200195,,,,,,
