モジュール,DSC,,,,,,,,
チャンネル,DSC7020,,,,,,,,
データ名,TGS_5Kpm_9.2mg_20241115,,,,,,,,
測定日時,2024/11/15 14:19:48,,,,,,,,
サンプル名,TGS,,,,,,,,
サンプル質量,9.2,mg,,,,,,,
リファレンス名,Al pan,,,,,,,,
リファレンス質量,22.9,mg,,,,,,,
温度プログラム,,Cel,Cel,Cel/min,min,s,ガス１,ガス２,ストアー
,1,-13,72,5,3,0.2,On,Off,On
,2,72,-13,5,5,0.2,On,Off,On
,温度プログラムモード,ランプ,,,,,,,
,冷却ユニット,全自動ガス冷却,,,,,,,
オペレータ名,伊藤,,,,,,,,
組織名,,,,,,,,,
コメント,オペレータ: 伊藤,,,,,,,,
,ガス1: N2,,,,,,,,
,パン: Al,,,,,,,,
,,,,,,,,,
,,,,,,,,,
面積,,,,,,,,,
TGS_5Kpm_9.2mg_20241115  DSC,,,,,,,,,
No.,DeltaH,,,,,,,,
,mJ/mg,,,,,,,,
1,-1.266645444,,,,,,,,
2,1.004942504,,,,,,,,
,,,,,,,,,
Time,Temp.,DSC,DDSC,,,,,,
0.28,-15.49892044,-86.20753479,1175.518311,,,,,,
0.283333333,-15.49364758,-90.17349243,1187.749146,,,,,,
0.286666667,-15.48827839,-94.16830444,1199.68396,,,,,,
0.29,-15.48283005,-98.19355774,1211.149414,,,,,,
0.293333333,-15.47727013,-102.2514648,1222.371826,,,,,,
0.296666667,-15.47161388,-106.3603973,1233.482422,,,,,,
0.3,-15.46584702,-110.5267487,1244.262695,,,,,,
0.303333333,-15.46000004,-114.7373962,1254.841187,,,,,,
0.306666667,-15.45405769,-118.9777832,1265.266113,,,,,,
0.31,-15.44801903,-123.2480774,1275.37085,,,,,,
0.313333333,-15.44186974,-127.5660095,1285.165283,,,,,,
0.316666667,-15.43560791,-131.92099,1294.562256,,,,,,
0.32,-15.42929935,-136.288208,1303.52832,,,,,,
0.323333333,-15.42287922,-140.6700439,1312.187256,,,,,,
0.326666667,-15.41637897,-145.0851135,1320.543945,,,,,,
0.33,-15.40975094,-149.521637,1328.633057,,,,,,
0.333333333,-15.40302849,-153.9666443,1336.413208,,,,,,
0.336666667,-15.3961935,-158.4411011,1344.027832,,,,,,
0.34,-15.38926315,-162.9411011,1352.77478,,,,,,
0.343333333,-15.38225269,-167.4650269,1360.678345,,,,,,
0.346666667,-15.37513161,-172.0299988,1367.805176,,,,,,
0.35,-15.3679142,-176.619751,1374.134399,,,,,,
0.353333333,-15.36063385,-181.2336121,1379.549561,,,,,,
0.356666667,-15.35324192,-185.8711853,1383.70459,,,,,,
0.36,-15.34573746,-190.5288086,1387.591919,,,,,,
0.363333333,-15.33812237,-195.1985474,1391.385498,,,,,,
0.366666667,-15.33041096,-199.8737183,1394.966675,,,,,,
0.37,-15.32260513,-204.5536194,1398.218262,,,,,,
0.373333333,-15.31470299,-209.2401428,1401.362183,,,,,,
0.376666667,-15.30672073,-213.9350891,1404.306152,,,,,,
0.38,-15.29862785,-218.7381592,1406.953857,,,,,,
0.383333333,-15.29043865,-223.594574,1409.421753,,,,,,
0.386666667,-15.28213882,-228.4331055,1411.372559,,,,,,
0.39,-15.27375793,-233.2329407,1412.823486,,,,,,
0.393333333,-15.26528263,-237.9988098,1414.027954,,,,,,
0.396666667,-15.25671101,-242.7061157,1414.916748,,,,,,
0.4,-15.24804497,-247.3929138,1415.377441,,,,,,
0.403333333,-15.23928261,-252.0800171,1415.482178,,,,,,
0.406666667,-15.23037624,-256.7717285,1415.443726,,,,,,
0.41,-15.22140694,-261.4700317,1415.441162,,,,,,
0.413333333,-15.21234131,-266.1716614,1415.34668,,,,,,
0.416666667,-15.20316505,-270.8728333,1415.241211,,,,,,
0.42,-15.19389248,-275.57901,1414.836548,,,,,,
0.423333333,-15.18455696,-280.2930603,1412.480347,,,,,,
0.426666667,-15.17510891,-285.0049438,1410.368408,,,,,,
0.43,-15.16556644,-289.7081909,1408.416138,,,,,,
0.433333333,-15.15591145,-294.4075623,1406.671875,,,,,,
0.436666667,-15.14616108,-299.1106567,1405.172974,,,,,,
0.44,-15.13631535,-303.8043518,1404.250122,,,,,,
